component,powertrain,size,euro_class,value
Nitrogen oxides,ICEV-g,13m-coach-double,2,11.62235641
Nitrogen oxides,ICEV-g,13m-coach-double,1,11.43112278
Nitrogen oxides,ICEV-d,13m-coach-double,2,11.41239166
Nitrogen oxides,ICEV-d,13m-coach-double,5,11.148386
Nitrogen oxides,ICEV-d,13m-coach-double,1,10.98483849
Nitrogen oxides,ICEV-d,13m-coach-double,4,10.94161034
Nitrogen oxides,ICEV-g,13m-coach,2,10.10150337
Nitrogen oxides,ICEV-d,13m-coach,2,9.919013977
Nitrogen oxides,ICEV-g,13m-coach,1,9.868753433
Nitrogen oxides,ICEV-d,13m-coach,5,9.570486069
Nitrogen oxides,ICEV-d,13m-coach,1,9.483465195
Nitrogen oxides,ICEV-d,13m-coach,4,9.399634361
Nitrogen oxides,ICEV-g,13m-coach-double,3,9.140799522
Nitrogen oxides,ICEV-d,13m-coach-double,3,9.008223534
Nitrogen oxides,ICEV-d,13m-coach-double,6,8.377319336
Nitrogen oxides,ICEV-g,13m-coach,3,7.944385529
Nitrogen oxides,ICEV-d,13m-coach,3,7.829161167
Nitrogen oxides,ICEV-d,13m-coach,6,7.108923912
Nitrogen oxides,ICEV-g,13m-coach-double,4,3.397946835
Nitrogen oxides,ICEV-g,13m-coach,4,3.125019789
Carbon monoxide,ICEV-d,13m-coach-double,4,3.038818121
Carbon monoxide,ICEV-d,13m-coach,4,2.975002289
Nitrogen dioxide,ICEV-g,13m-coach-double,2,2.905589104
Nitrogen dioxide,ICEV-g,13m-coach-double,1,2.857780695
Carbon monoxide,ICEV-d,13m-coach-double,5,2.791426897
Carbon monoxide,ICEV-d,13m-coach,5,2.784600735
Carbon monoxide,ICEV-g,13m-coach-double,1,2.58578825
Nitrogen dioxide,ICEV-g,13m-coach,2,2.525375843
Carbon monoxide,ICEV-d,13m-coach-double,1,2.481357098
Nitrogen dioxide,ICEV-g,13m-coach,1,2.467188358
Nitrogen dioxide,ICEV-d,13m-coach-double,6,2.345649481
Carbon monoxide,ICEV-g,13m-coach-double,3,2.298843145
Nitrogen dioxide,ICEV-g,13m-coach-double,3,2.285199881
Carbon monoxide,ICEV-g,13m-coach,1,2.284344673
Carbon monoxide,ICEV-d,13m-coach-double,3,2.257223129
Carbon monoxide,ICEV-d,13m-coach,1,2.192087889
Carbon monoxide,ICEV-g,13m-coach,3,2.056438208
Carbon monoxide,ICEV-d,13m-coach,3,2.019206762
Nitrogen dioxide,ICEV-d,13m-coach,6,1.990498662
Nitrogen dioxide,ICEV-g,13m-coach,3,1.986096382
Carbon monoxide,ICEV-g,13m-coach-double,2,1.868514657
Carbon monoxide,ICEV-d,13m-coach-double,2,1.821611881
Carbon monoxide,ICEV-g,13m-coach,2,1.678317547
Carbon monoxide,ICEV-d,13m-coach,2,1.636188984
Nitrogen dioxide,ICEV-d,13m-coach-double,4,1.525568008
Nitrogen dioxide,ICEV-d,13m-coach,4,1.369709611
Nitrogen oxides,ICEV-g,13m-coach-double,5,1.325439095
Nitrogen dioxide,ICEV-d,13m-coach-double,5,1.189281344
Nitrogen oxides,ICEV-g,13m-coach,5,1.135801911
Nitrogen dioxide,ICEV-d,13m-coach,5,1.093756795
Hydrocarbon,ICEV-g,13m-coach-double,1,0.963507533
Nitrogen oxides,ICEV-g,13m-city-double,2,0.942984564
Nitrogen oxides,ICEV-g,18m,2,0.942984564
Nitrogen oxides,ICEV-g,9m,2,0.905252423
Nitrogen oxides,ICEV-g,13m-city,2,0.905252423
Methane,ICEV-g,13m-coach-double,1,0.886426985
Hydrocarbon,ICEV-g,13m-coach,1,0.860369384
Hydrocarbon,ICEV-d,13m-coach-double,1,0.859047472
Nitrogen dioxide,ICEV-g,13m-coach-double,4,0.849486709
Non-methane hydrocarbon,ICEV-d,13m-coach-double,1,0.838430345
Nitrogen dioxide,ICEV-d,13m-coach-double,2,0.798867464
Methane,ICEV-g,13m-coach,1,0.791539848
Nitrogen dioxide,ICEV-g,13m-coach,4,0.781254947
Nitrogen oxides,ICEV-g,18m,3,0.770671513
Nitrogen oxides,ICEV-g,13m-city-double,3,0.770671513
Nitrogen dioxide,ICEV-d,13m-coach-double,1,0.768938661
Hydrocarbon,ICEV-d,13m-coach,1,0.767091155
Nitrogen oxides,ICEV-g,9m,3,0.762339809
Nitrogen oxides,ICEV-g,13m-city,3,0.762339809
Non-methane hydrocarbon,ICEV-d,13m-coach,1,0.748681009
Carbon monoxide,ICEV-g,13m-coach-double,5,0.728833675
Nitrogen dioxide,ICEV-d,13m-coach,2,0.69433099
Nitrogen dioxide,ICEV-d,13m-coach,1,0.663842618
Nitrogen oxides,ICEV-g,9m,4,0.647724785
Nitrogen oxides,ICEV-g,13m-city,4,0.647724785
Nitrogen oxides,ICEV-g,13m-city-double,4,0.630859682
Nitrogen oxides,ICEV-g,18m,4,0.630859682
Nitrogen dioxide,ICEV-d,13m-coach-double,3,0.630575597
Carbon monoxide,ICEV-g,13m-coach,5,0.624555767
Carbon monoxide,ICEV-g,13m-coach-double,6,0.62162298
Particulate matters 2.5,ICEV-g,13m-coach-double,1,0.595431387
Hydrocarbon,ICEV-g,13m-coach-double,2,0.561326861
Nitrogen dioxide,ICEV-d,13m-coach,3,0.548041284
Carbon monoxide,ICEV-g,13m-coach,6,0.533761084
Hydrocarbon,ICEV-d,13m-coach-double,2,0.525200009
Particulate matters 2.5,ICEV-g,13m-coach,1,0.521555305
Particulate matters 2.5,ICEV-d,13m-coach-double,1,0.520888627
Methane,ICEV-g,13m-coach-double,2,0.516420722
Non-methane hydrocarbon,ICEV-d,13m-coach-double,2,0.512595236
Hydrocarbon,ICEV-g,13m-coach,2,0.503070176
Hydrocarbon,ICEV-g,13m-coach-double,3,0.498879403
Hydrocarbon,ICEV-d,13m-coach-double,3,0.481400847
Carbon monoxide,ICEV-g,13m-coach,4,0.472539425
Hydrocarbon,ICEV-d,13m-coach,2,0.470692754
Non-methane hydrocarbon,ICEV-d,13m-coach-double,3,0.469847232
Methane,ICEV-g,13m-coach,2,0.462824583
Non-methane hydrocarbon,ICEV-d,13m-coach,2,0.459396124
Methane,ICEV-g,13m-coach-double,3,0.458969057
Particulate matters 2.5,ICEV-d,13m-coach,1,0.456261158
Hydrocarbon,ICEV-g,13m-coach,3,0.454975903
Carbon monoxide,ICEV-g,13m-coach-double,4,0.449442059
Hydrocarbon,ICEV-d,13m-coach,3,0.439035535
Non-methane hydrocarbon,ICEV-d,13m-coach,3,0.428498685
Hydrocarbon,ICEV-g,13m-city-double,2,0.425562602
Hydrocarbon,ICEV-g,18m,2,0.425562602
Methane,ICEV-g,13m-coach,3,0.41857785
Nitrogen oxides,ICEV-g,13m-coach-double,6,0.412655622
Nitrogen oxides,ICEV-d,13m-city-double,2,0.392312521
Nitrogen oxides,ICEV-d,18m,2,0.392312521
Methane,ICEV-g,18m,2,0.391517607
